id,name,address,city,state,description,full_address,postal_code,Starred
1," Sushi Inoue","381 Lenox Ave"," New York"," NY","ONE STAR for this Japanese restaurant in Harlem.","381 Lenox Ave, New York, NY 10027",10027,TRUE
2," Dovetail","103 W 77th St"," New York"," NY","John Fraser's UWS fine dining restaurant has ONE STAR.","103 W 77th St, New York, NY 10024",10024,TRUE
3," Cafe Boulud","20 E 76th St"," New York"," NY","Daniel Boulud's beloved Upper East Side restaurant has ONE STAR.","20 E 76th St, New York, NY 10021",10021,TRUE
4," Jean-Georges","1 Central Park West"," New York"," NY","Jean-Georges Vongerichten's flagship restaurant has been downgraded this year to TWO STARS.","1 Central Park West, New York, NY 10023",10023,TRUE
5," Masa","10 Columbus Cir"," New York"," NY","Masa Takayama's pricey sushi restaurant has THREE STARS.","10 Columbus Cir, New York, NY 10019",10019,TRUE
6," Per Se","4th Floor  Time Warner Center  10 Columbus Cir"," New York"," NY","Thomas Keller's restaurant in the Time Warner Center has THREE STARS.","4th Floor  Time Warner Center  10 Columbus Cir, New York, NY 10023",10023,TRUE
7," Marea","240 Central Park S"," New York"," NY","Michael White's Central Park South Italian seafood restaurant has TWO STARS.","240 Central Park S, New York, NY 10019",10019,TRUE
8," Daniel","60 E 65th St"," New York"," NY","Daniel Boulud's Upper East Side French restaurant has TWO STARS.","60 E 65th St, New York, NY 10065",10065,TRUE
9," Torishin","362 W 53rd St"," New York"," NY","This terrific izakaya has ONE STAR.","362 W 53rd St, New York, NY 10019",10019,TRUE
10," Le Bernardin","155 W 51st St"," New York"," NY","Eric Ripert's beloved seafood restaurant has THREE STARS.","155 W 51st St, New York, NY 10019",10019,TRUE
11," The Modern","9 W 53rd St"," New York"," NY","Danny Meyer's Midtown restaurant with chef Abram Bissell has TWO STARS.","9 W 53rd St, New York, NY 10019",10019,TRUE
12," Aquavit","65 E 55th St"," New York"," NY","This Midtown Scandinavian restaurant has TWO STARS.","65 E 55th St, New York, NY 10022",10022,TRUE
13," Caviar Russe","538 Madison Ave"," New York"," NY","This Midtown East fine dining restaurant has ONE STAR.","538 Madison Ave, New York, NY 10022",10022,TRUE
14," Satsuki (Suzukiâ€™s sushi bar)","114 W 47th St (discreetly located)"," New York"," NY","The family behind longtime favorite Sushi Zen opened edomae-style omakase Satsuki in 2017 and have earned ONE STAR.","114 W 47th St (discreetly located), New York, NY 10036",10036,TRUE
15," Chef's Table at Brooklyn Fare","431 W 37th St"," New York"," NY","Cesar Ramirez's fine-dining counter retains its THREE STAR rating for another year.","431 W 37th St, New York, NY 10018",10018,TRUE
16," Aureole","135 W 42nd St"," New York"," NY","Charlie Palmer's Times Square restaurant has ONE STAR.","135 W 42nd St, New York, NY 10036",10036,TRUE
17," Gabriel Kreuther","41 W 42nd St"," New York"," NY","Gabriel Kreuther's eponymous Midtown restaurant has ONE STAR.","41 W 42nd St, New York, NY 10036",10036,TRUE
18," Agern","Grand Central Terminal  89 E 42nd St"," New York"," NY","Claus Meyerâ€™s Grand Central restaurant retains ONE STAR.","Grand Central Terminal  89 E 42nd St, New York, NY 10017",10017,TRUE
19," Sushi Ginza Onodera","461 5th Ave"," New York"," NY","This omakase-only restaurant has been upgraded this year to TWO STARS.","461 5th Ave, New York, NY 10017",10017,TRUE
20," Sushi Amane","245 E 44th St"," New York"," NY","After just three months in Midtown East, Sushi Amane scores ONE STAR.","245 E 44th St, New York, NY 10017",10017,TRUE
21," Sushi Yasuda","204 E 43rd St"," New York"," NY","This sushi favorite has ONE STAR.","204 E 43rd St, New York, NY 10017",10017,TRUE
22," Ai Fiori","400 5th Ave #2"," New York"," NY","Michael White's French Riviera-inspired restaurant has ONE STAR.","400 5th Ave #2, New York, NY 10018",10018,TRUE
23," CafÃ© China","13 E 37th St"," New York"," NY","This stylish Midtown Sichuan restaurant has ONE STAR.","13 E 37th St, New York, NY 10016",10016,TRUE
24," Kajitsu","125 E 39th St"," New York"," NY","This Midtown vegetarian Japanese restaurant has ONE STAR.","125 E 39th St, New York, NY 10016",10016,TRUE
25," Tempura Matsui","222 E 39th St"," New York"," NY","This pricey Japanese restaurant retains its ONE STAR rating.","222 E 39th St, New York, NY 10016",10016,TRUE
26," Ushiwakamaru","362 W 23rd St"," New York"," NY","This Kosher-friendly sushi bar has ONE STAR.","362 W 23rd St, New York, NY 10011",10011,TRUE
27," The Breslin","16 W 29th St"," New York"," NY","Ken Friedman and April Bloomfield's gastropub in the Ace Hotel has ONE STAR. Editorâ€™s note: Ken Friedman, a part-owner, has been accused of sexual misconduct by multiple women.","16 W 29th St, New York, NY 10001",10001,TRUE
28," The NoMad Restaurant","1170 Broadway"," New York"," NY","Daniel Humm and Will Guidaraâ€™s restaurant in The NoMad Hotel retains its ONE STAR rating.","1170 Broadway, New York, NY 10001",10001,TRUE
29," Del Posto","85 10th Ave"," New York"," NY","This Chelsea Italian restaurant from Mario Batali, Joe Bastianich, and Lidia Bastianich stays on the list with new executive chef Melissa Rodriguez with ONE STAR. Editorâ€™s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.","85 10th Ave, New York, NY 10011",10011,TRUE
30," Casa Enrique","5-48 49th Ave"," Long Island City"," NY","ONE STAR for Cosme Aguilar's Mexican restaurant, the only one on the list.","5-48 49th Ave, Long Island City, NY 11101",11101,TRUE
31," Junoon","27 W 24th St"," New York"," NY","Rajesh Bhardwajâ€™s Indian fine dining restaurant has ONE STAR.","27 W 24th St, New York, NY 10010",10010,TRUE
32," La Sirena","88 9th Ave"," New York"," NY","Mario Batali and Joe Bastianich's sprawling Chelsea restaurant has ONE STAR. Editorâ€™s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.","88 9th Ave, New York, NY 10011",10011,TRUE
33," Eleven Madison Park","11 Madison Ave"," New York"," NY","Daniel Humm and Will Guidara's newly renovated stunner holds onto its THREE STARS.","11 Madison Ave, New York, NY 10010",10010,TRUE
34," The Clocktower","5 Madison Ave"," New York"," NY","The British restaurant, opened in 2015 from prolific restaurateur Stephen Starr and chef Jason Atherton, earns ONE STAR for the first time.","5 Madison Ave, New York, NY 10010",10010,TRUE
35," Cote Korean Steakhouse","16 W 22nd St"," New York"," NY","The new steakhouse from owner Simon Kim and chef David Shim makes it on the list with ONE STAR. ","16 W 22nd St, New York, NY 10010",10010,TRUE
36," Rouge Tomate Chelsea","126 W 18th St"," New York"," NY","This wine-focused American Chelsea restaurant lands on the list this year with ONE STAR.","126 W 18th St, New York, NY 10011",10011,TRUE
37," Gunter Seeger NY","641 Hudson St"," New York"," NY","The Atlanta chef's eponymous restaurant has ONE STAR.","641 Hudson St, New York, NY 10014",10014,TRUE
38," ALDEA","31 W 17th St"," New York"," NY","George Mendesâ€™ modern Portuguese restaurant has ONE STAR.","31 W 17th St, New York, NY 10011",10011,TRUE
39," Gramercy Tavern","42 E 20th St"," New York"," NY","Restaurateur Danny Meyer and chef Michael Anthony's perennial favorite has ONE STAR.","42 E 20th St, New York, NY 10003",10003,TRUE
40," Casa Mono","52 Irving Pl"," New York"," NY","This Gramercy Spanish restaurant from Mario Batali has ONE STAR. Editorâ€™s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.","52 Irving Pl, New York, NY 10003",10003,TRUE
41," WallsÃ©","344 W 11th St"," New York"," NY","Kurt Gutenbrunner's West Village Austrian restaurant has ONE STAR.","344 W 11th St, New York, NY 10014",10014,TRUE
42," Gotham Bar and Grill","12 E 12th St"," New York"," NY","Alfred Portale's classic American restaurant has ONE STAR.","12 E 12th St, New York, NY 10003",10003,TRUE
43," Nix","72 University Pl"," New York"," NY","John Fraser's vegetarian restaurant holds onto its ONE STAR.","72 University Pl, New York, NY 10003",10003,TRUE
44," Babbo","110 Waverly Pl"," New York"," NY","Mario Batali's flagship restaurant has ONE STAR. Editorâ€™s note: Mario Batali, a part-owner, has been accused of sexual misconduct by multiple women.","110 Waverly Pl, New York, NY 10011",10011,TRUE
45," Blue Hill","75 Washington Pl"," New York"," NY","Dan Barber's farm-to-table restaurant off Washington Square Park has ONE STAR.","75 Washington Pl, New York, NY 10011",10011,TRUE
46," Kanoyama","175 2nd Ave"," New York"," NY","This East Village sushi restaurant retains ONE STAR.","175 2nd Ave, New York, NY 10003",10003,TRUE
47," Minetta Tavern","113 Macdougal St"," New York"," NY","Keith McNally's steakhouse gem has ONE STAR.","113 Macdougal St, New York, NY 10012",10012,TRUE
48," Sushi Zo","88 W 3rd St"," New York"," NY","The New York offshoot of a high-end LA sushi restaurant has ONE STAR.","88 W 3rd St, New York, NY 10012",10012,TRUE
49," Carbone","181 Thompson St"," New York"," NY","The fancy red sauce Italian restaurant from Rich Torrisi, Mario Carbone, and Jeff Zalaznick has ONE STAR.","181 Thompson St, New York, NY 10012",10012,TRUE
50," ZZ's Clam Bar","169 Thompson St"," New York"," NY","Major Food Group's cocktail lounge and seafood bar has ONE STAR.","169 Thompson St, New York, NY 10012",10012,TRUE
51," Jewel Bako","239 E 5th St"," New York"," NY","Jack Lamb's East Village Japanese restaurant has ONE STAR.","239 E 5th St, New York, NY 10003",10003,TRUE
52," Kyo Ya","94 E 7th St"," New York"," NY","This East Village Japanese restaurant has ONE STAR.","94 E 7th St, New York, NY 10009",10009,TRUE
53," Momofuku Ko","8 Extra Pl"," New York"," NY","David Chang's East Village chef's counter has TWO STARS.","8 Extra Pl, New York, NY 10003",10003,TRUE
54," Hirohisa","73 Thompson St"," New York"," NY","This Japanese restaurant sticks on the list with ONE STAR.","73 Thompson St, New York, NY 10012",10012,TRUE
55," The Musket Room","265 Elizabeth St"," New York"," NY","This New Zealand-inspired restaurant from Matt Lambert retains its ONE STAR rating.","265 Elizabeth St, New York, NY 10012",10012,TRUE
56," Rebelle","218 Bowery"," New York"," NY","This modern French wine bar on the Bowery has ONE STAR.","218 Bowery, New York, NY 10012",10012,TRUE
57," Uchu","217 Eldridge St"," New York"," NY","Eiji Ichimuraâ€™s new sushi tasting counter makes it to the list with ONE STAR.","217 Eldridge St, New York, NY 10002",10002,TRUE
58," Uncle Boons","7 Spring St"," New York"," NY","This Nolita Thai restaurant sticks on the list with ONE STAR.","7 Spring St, New York, NY 10012",10012,TRUE
59," Contra","138 Orchard St"," New York"," NY","Fabian von Hauske and Jeremiah Stoneâ€™s ambitious set menu restaurant has ONE STAR.","138 Orchard St, New York, NY 10002",10002,TRUE
60," BÃ¢tard","239 W Broadway"," New York"," NY","The Tribeca restaurant from Drew Nieporent, Markus Glocker, and John Winterman retains its ONE STAR rating.","239 W Broadway, New York, NY 10013",10013,TRUE
61," Jungsik","2 Harrison St"," New York"," NY","This Korean fine dining restaurant has TWO STARS.","2 Harrison St, New York, NY 10013",10013,TRUE
62," Delaware and Hudson","135 N 5th St"," Brooklyn"," NY","Patti Jackson's mid-Atlantic focused restaurant has ONE STAR.","135 N 5th St, Brooklyn, NY 11249",11249,TRUE
63," Atera","77 Worth St"," New York"," NY","This forward-thinking Tribeca restaurant has TWO STARS.","77 Worth St, New York, NY 10013",10013,TRUE
64," Aska","47 S 5th St"," Brooklyn"," NY","Fredrik Berseliusâ€™s tasting menu reboot sticks with TWO STARS.","47 S 5th St, Brooklyn, NY 11249",11249,TRUE
65," L'Appart","225 Liberty St"," New York"," NY","Le District's tasting menu restaurant lands on the list with ONE STAR.","225 Liberty St, New York, NY 10281",10281,TRUE
66," Meadowsweet","149 Broadway"," Brooklyn"," NY","Polo Dobkin's American restaurant gets ONE STAR.","149 Broadway, Brooklyn, NY 11211",11211,TRUE
67," Peter Luger Steak House","178 Broadway"," Brooklyn"," NY","New York's most beloved steakhouse has ONE STAR.","178 Broadway, Brooklyn, NY 11211",11211,TRUE
68," Faro","436 Jefferson St"," Brooklyn"," NY","Kevin and Debbie Adey's Bushwick restaurant has ONE STAR.","436 Jefferson St, Brooklyn, NY 11237",11237,TRUE
69," Blanca","261 Moore St"," Brooklyn"," NY","Carlo Mirarchi's Bushwick tasting menu restaurant has TWO STARS.","261 Moore St, Brooklyn, NY 11206",11206,TRUE
70," The River CafÃ©","1 Water St"," Brooklyn"," NY","Brooklyn's iconic floating restaurant has ONE STAR.","1 Water St, Brooklyn, NY 11201",11201,TRUE
71," La Vara","268 Clinton St"," Brooklyn"," NY","Alex Raij and Eder Montero's Cobble Hill restaurant has ONE STAR.","268 Clinton St, Brooklyn, NY 11201",11201,TRUE
72," The Finch","212 Greene Ave"," Brooklyn"," NY","This Clinton Hill New American restaurant has ONE STAR.","212 Greene Ave, Brooklyn, NY 11238",11238,TRUE
